tot build ln
87202 4.4240 3.4594
118520 6.7570 3.4594
470550 25.2880 3.4594
595068 11.7940 3.4594
520644 6.7960 3.4594
3166576 54.0320 3.4594
58778 11.3970 3.4594
611352 14.3230 3.4594
1808766 14.7300 3.4594
2698656 15.8500 3.4594
117394 8.5620 3.4594
62520 4.7340 3.4594
1615718 8.2610 3.4594
154554 6.5240 3.4594
283630 5.6990 3.4594
49528 8.8120 3.4594
499346 3.3570 3.4594
952844 8.2890 3.4594
177648 13.7930 3.4594
115200 4.1500 3.4594
123898 2.3630 3.4594
1093052 9.5550 3.4594
1774588 45.4420 3.4594
2774504 18.6790 3.4594
3752002 20.4990 3.4594
75426 4.1400 3.4594
211538 5.9860 3.4594
1037250 6.1000 3.4594
81654 6.6190 3.4594
1129148 12.7630 3.4594
950854 46.8620 3.4594
21554 5.3690 3.4594
1683832 23.5270 3.4594
1171170 18.4040 3.4594
162756 3.4480 3.4594
824556 5.0170 3.4594
180732 6.0880 3.4594
1357502 10.4300 3.4594
37842 5.8040 3.4594
417280 6.2020 3.4594
80686 4.8690 3.4594
79336 9.4940 3.4594
32400 1.6200 3.4594
1480098 10.8410 3.4594
2267282 10.7100 3.4594
17506 1.4710 3.4594
496364 8.1750 3.4594
61858 4.8600 3.4594
89544 1.9810 3.4594
1051070 10.7090 3.4594
2011858 19.1870 3.4594
289402 9.0830 3.4594
1847972 21.7600 3.4594
190320 12.4200 3.4594
24384 5.1800 3.4594
38478 1.5660 3.4594
76098 7.9770 3.4594
18726 8.3300 3.4594
352280 29.7990 3.4594
1468972 12.8920 3.4594
44884 4.3070 3.4594
289270 13.1910 3.4594
118882 13.2210 3.4594
3461780 110.2760 3.4594
2428592 10.9690 3.4594
1617464 24.2800 3.4594
145706 4.9980 3.4594
2262556 17.9990 3.4594
79232 4.6510 3.4594
96356 7.5770 3.4594
37484 5.4310 3.4594
1631176 42.4920 3.4594
732126 11.3290 3.4594
21884 5.0370 3.4594
161714 15.8130 3.4594
763820 17.9130 3.4594
36626 5.2330 3.4594
127386 20.4150 3.4594
91534 8.3790 3.4594
565012 6.9970 3.4594
46006 4.4450 3.4594
1404982 14.9950 3.4594
37406 4.9090 3.4594
38478 2.5400 3.4594
422498 3.1400 3.4594
30178 5.7780 3.4594
781600 4.7380 3.4594
145674 4.0980 3.4594
342144 8.6320 3.4594
65698 4.6930 3.4594
178222 7.8390 3.4594
2561860 40.7660 3.4594
128938 4.7270 3.4594
1220446 20.0160 3.4594
329494 5.3920 3.4594
194428 8.9310 3.4594
37572 4.6580 3.4594
124200 7.4250 3.4594
1161548 36.0780 3.4594
79686 5.0460 3.4594
190232 8.3300 3.4594
244754 2.4960 3.4594
240248 9.6030 3.4594
412378 7.4200 3.4594
1158822 27.3630 3.4594
77832 5.7380 3.4594
29868 4.8240 3.4594
2897994 12.6010 3.4594
121322 7.3120 3.4594
1195802 57.8510 3.4594
415906 19.6030 3.4594
1395442 16.6810 3.4594
521006 4.8610 3.4594
358136 8.9050 3.4594
836254 11.1330 3.4594
70894 7.3060 3.4594
1844032 22.5680 3.4594
51410 4.6070 3.4594
1873994 11.5510 3.4594
1981618 28.9620 3.4594
171016 5.7740 3.4594
150108 4.5520 3.4594
1175598 46.8650 3.4594
25968 4.2840 3.4594
238798 10.7480 3.4594
268094 28.0530 3.4594
465088 6.9870 3.4594
298412 11.3350 3.4594
132398 4.4160 3.4594
1303074 19.3150 3.4594
53956 7.8920 3.4594
179350 10.7440 3.4594
121764 5.6660 3.4594
155512 8.3350 3.4594
452900 6.8270 3.4594
105378 8.8990 3.4594
1730094 12.6550 3.4594
249170 6.2390 3.4594
29012 6.1430 4.0000
317620 5.9800 4.0000
360914 8.9220 4.0000
625134 29.4340 4.0000
33498 11.8700 4.0000
970976 9.4090 4.0000
29028 5.4460 4.0000
30362 7.5780 4.0000
68762 6.6260 4.0000
1189972 24.3750 4.0000
49868 4.2440 4.0000
24554 2.3790 4.0000
3664958 42.9340 4.0000
468616 8.3870 4.0000
949490 8.5610 4.0000
46242 15.3140 4.0000
41402 7.6410 4.0000
133636 5.4470 4.0000
666562 42.7050 4.0000
236216 10.0550 4.0000
196708 6.7850 4.0000
87170 11.3460 4.0000
86408 15.3830 4.0000
1887994 13.6660 4.0000
497930 6.5190 4.0000
1978172 25.7600 4.0000
1189340 13.2970 4.0000
